[Tue Apr 14 21:44:06 2026] EVENTO: ENTRADA | TIPO: Camion | ID: 1 | Ocupados: 2 | VIP Libres: 5 | Esperando: 0 | Desistieron: 0
[Tue Apr 14 21:44:06 2026] EVENTO: ENTRADA | TIPO: Camion | ID: 2 | Ocupados: 4 | VIP Libres: 5 | Esperando: 0 | Desistieron: 0
[Tue Apr 14 21:44:06 2026] EVENTO: ENTRADA | TIPO: Camion | ID: 3 | Ocupados: 6 | VIP Libres: 5 | Esperando: 0 | Desistieron: 0
[Tue Apr 14 21:44:06 2026] EVENTO: ENTRADA | TIPO: Carro | ID: 11 | Ocupados: 7 | VIP Libres: 4 | Esperando: 7 | Desistieron: 0
[Tue Apr 14 21:44:06 2026] EVENTO: ENTRADA | TIPO: Carro | ID: 12 | Ocupados: 8 | VIP Libres: 3 | Esperando: 7 | Desistieron: 0
[Tue Apr 14 21:44:06 2026] EVENTO: ENTRADA | TIPO: Carro | ID: 13 | Ocupados: 9 | VIP Libres: 2 | Esperando: 7 | Desistieron: 0
[Tue Apr 14 21:44:06 2026] EVENTO: ENTRADA | TIPO: Carro | ID: 15 | Ocupados: 10 | VIP Libres: 1 | Esperando: 7 | Desistieron: 0
[Tue Apr 14 21:44:06 2026] EVENTO: ENTRADA | TIPO: Carro | ID: 14 | Ocupados: 11 | VIP Libres: 0 | Esperando: 7 | Desistieron: 0
[Tue Apr 14 21:44:06 2026] EVENTO: ENTRADA | TIPO: Carro | ID: 16 | Ocupados: 12 | VIP Libres: 0 | Esperando: 7 | Desistieron: 0
[Tue Apr 14 21:44:06 2026] EVENTO: ENTRADA | TIPO: Carro | ID: 17 | Ocupados: 13 | VIP Libres: 0 | Esperando: 7 | Desistieron: 0
[Tue Apr 14 21:44:06 2026] EVENTO: ENTRADA | TIPO: Carro | ID: 18 | Ocupados: 14 | VIP Libres: 0 | Esperando: 7 | Desistieron: 0
[Tue Apr 14 21:44:06 2026] EVENTO: ENTRADA | TIPO: Carro | ID: 19 | Ocupados: 15 | VIP Libres: 0 | Esperando: 7 | Desistieron: 0
[Tue Apr 14 21:44:07 2026] EVENTO: ENTRADA | TIPO: Carro | ID: 21 | Ocupados: 16 | VIP Libres: 0 | Esperando: 7 | Desistieron: 0
[Tue Apr 14 21:44:07 2026] EVENTO: ENTRADA | TIPO: Carro | ID: 20 | Ocupados: 17 | VIP Libres: 0 | Esperando: 7 | Desistieron: 0
[Tue Apr 14 21:44:07 2026] EVENTO: ENTRADA | TIPO: Carro | ID: 22 | Ocupados: 18 | VIP Libres: 0 | Esperando: 7 | Desistieron: 0
[Tue Apr 14 21:44:07 2026] EVENTO: ENTRADA | TIPO: Carro | ID: 23 | Ocupados: 19 | VIP Libres: 0 | Esperando: 7 | Desistieron: 0
[Tue Apr 14 21:44:07 2026] EVENTO: ENTRADA | TIPO: Carro | ID: 24 | Ocupados: 20 | VIP Libres: 0 | Esperando: 7 | Desistieron: 0
[Tue Apr 14 21:44:07 2026] EVENTO: SALIDA | TIPO: Carro | ID: 12 | Ocupados: 19 | VIP Libres: 1 | Esperando: 14 | Desistieron: 0
[Tue Apr 14 21:44:07 2026] EVENTO: ENTRADA | TIPO: Carro | ID: 25 | Ocupados: 20 | VIP Libres: 0 | Esperando: 13 | Desistieron: 0
[Tue Apr 14 21:44:07 2026] EVENTO: SALIDA | TIPO: Carro | ID: 13 | Ocupados: 19 | VIP Libres: 1 | Esperando: 13 | Desistieron: 0
[Tue Apr 14 21:44:07 2026] EVENTO: ENTRADA | TIPO: Carro | ID: 26 | Ocupados: 20 | VIP Libres: 0 | Esperando: 12 | Desistieron: 0
[Tue Apr 14 21:44:07 2026] EVENTO: SALIDA | TIPO: Carro | ID: 16 | Ocupados: 19 | VIP Libres: 1 | Esperando: 16 | Desistieron: 0
[Tue Apr 14 21:44:07 2026] EVENTO: ENTRADA | TIPO: Carro | ID: 27 | Ocupados: 20 | VIP Libres: 0 | Esperando: 15 | Desistieron: 0
[Tue Apr 14 21:44:07 2026] EVENTO: SALIDA | TIPO: Carro | ID: 17 | Ocupados: 19 | VIP Libres: 1 | Esperando: 15 | Desistieron: 0
[Tue Apr 14 21:44:07 2026] EVENTO: ENTRADA | TIPO: Carro | ID: 29 | Ocupados: 20 | VIP Libres: 0 | Esperando: 14 | Desistieron: 0
[Tue Apr 14 21:44:08 2026] EVENTO: SALIDA | TIPO: Camion | ID: 1 | Ocupados: 18 | VIP Libres: 0 | Esperando: 18 | Desistieron: 0
[Tue Apr 14 21:44:08 2026] EVENTO: ENTRADA | TIPO: Carro | ID: 28 | Ocupados: 19 | VIP Libres: 0 | Esperando: 17 | Desistieron: 0
[Tue Apr 14 21:44:08 2026] EVENTO: SALIDA | TIPO: Camion | ID: 2 | Ocupados: 17 | VIP Libres: 0 | Esperando: 19 | Desistieron: 0
[Tue Apr 14 21:44:08 2026] EVENTO: ENTRADA | TIPO: Carro | ID: 31 | Ocupados: 18 | VIP Libres: 0 | Esperando: 18 | Desistieron: 0
[Tue Apr 14 21:44:08 2026] EVENTO: SALIDA | TIPO: Camion | ID: 3 | Ocupados: 16 | VIP Libres: 0 | Esperando: 18 | Desistieron: 0
[Tue Apr 14 21:44:08 2026] EVENTO: ENTRADA | TIPO: Camion | ID: 6 | Ocupados: 18 | VIP Libres: 0 | Esperando: 17 | Desistieron: 0
[Tue Apr 14 21:44:08 2026] EVENTO: ENTRADA | TIPO: Carro | ID: 32 | Ocupados: 19 | VIP Libres: 0 | Esperando: 16 | Desistieron: 0
[Tue Apr 14 21:44:08 2026] EVENTO: SALIDA | TIPO: Carro | ID: 22 | Ocupados: 18 | VIP Libres: 1 | Esperando: 16 | Desistieron: 0
[Tue Apr 14 21:44:08 2026] EVENTO: ENTRADA | TIPO: Carro | ID: 34 | Ocupados: 19 | VIP Libres: 0 | Esperando: 15 | Desistieron: 0
[Tue Apr 14 21:44:08 2026] EVENTO: SALIDA | TIPO: Carro | ID: 27 | Ocupados: 18 | VIP Libres: 1 | Esperando: 29 | Desistieron: 0
[Tue Apr 14 21:44:08 2026] EVENTO: ENTRADA | TIPO: Carro | ID: 37 | Ocupados: 19 | VIP Libres: 0 | Esperando: 28 | Desistieron: 0
[Tue Apr 14 21:44:08 2026] EVENTO: SALIDA | TIPO: Carro | ID: 29 | Ocupados: 18 | VIP Libres: 1 | Esperando: 28 | Desistieron: 0
[Tue Apr 14 21:44:08 2026] EVENTO: ENTRADA | TIPO: Carro | ID: 36 | Ocupados: 19 | VIP Libres: 0 | Esperando: 27 | Desistieron: 0
[Tue Apr 14 21:44:09 2026] EVENTO: SALIDA | TIPO: Carro | ID: 31 | Ocupados: 18 | VIP Libres: 1 | Esperando: 32 | Desistieron: 0
[Tue Apr 14 21:44:09 2026] EVENTO: ENTRADA | TIPO: Carro | ID: 38 | Ocupados: 19 | VIP Libres: 0 | Esperando: 31 | Desistieron: 0
[Tue Apr 14 21:44:09 2026] EVENTO: DESISTE (TIMEOUT) | TIPO: Camion | ID: 4 | Ocupados: 19 | VIP Libres: 0 | Esperando: 30 | Desistieron: 1
[Tue Apr 14 21:44:09 2026] EVENTO: ENTRADA | TIPO: Carro | ID: 39 | Ocupados: 20 | VIP Libres: 0 | Esperando: 29 | Desistieron: 1
